    REPORTE PEDIDOS REALIZADOS POR FECHA
============================================
                 24/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    50375303        JXD-139         6
    13245501        AWB-345         1
    12663268        AHB-459         3
    36380447        OWN-701         5
    88956889        TMN-884         1
    59162728        FEG-454         4
    33713901        ZVA-180         6
    86402303        OQI-373         3
    24995742        KCO-488         4
    97403853        BCK-361         5
    79901434        OXP-732         2
    26290971        TYF-885         3
    26976877        AFL-718         5
    79464412        JXD-139         4
    25171011        QRC-609         3
    89148118        JFC-432         5
    45828535        AVM-258         2
    46462527        ISU-815         6
    95015539        CSZ-863         2
    11602775        JJN-837         2
    15210391        OTW-288         3
    43877279        SSD-176         4
    54761731        FVB-607         5
    85949265        LDR-510         6
    78078115        SSD-176         1
    35565959        VJI-529         5
    45783712        VZV-827         1
    50365593        VVS-017         3
    87800799        JDC-028         5
    73914283        OBI-353         4
    45877001        RDT-761         5
    42928709        GLC-370         6
============================================
                 03/09/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    50375303        CRU-009         5
    26290971        PVZ-181         3
    73535476        FLJ-040         4
    16552775        AWB-345         6
    73535476        UWA-476         5
    95751208        UOD-420         4
    15561764        GBJ-693         2
    43043986        ZEX-027         1
    96258632        CRU-009         2
    79901434        ZEX-027         2
    12663268        YYU-726         4
    71378466        FVQ-662         2
    26976877        VTV-269         4
    42798099        OQI-373         2
    23928045        TMN-884         2
    69324480        UOD-420         3
    59407188        OWN-701         1
    57263719        OTH-462         5
    37110873        FCN-617         6
    96659352        GBJ-693         3
    52097922        UTN-601         2
    79901434        CSZ-863         5
    89429489        UXG-019         1
    52097922        XSD-310         6
    33713901        VVS-017         1
    62566305        AVM-258         1
    32904023        RBE-789         6
    99842319        DUG-251         2
    40112594        FVQ-662         4
    16151792        AQS-362         1
    52097922        XZG-521         4
    54761731        OTS-581         5
============================================
                 27/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    22777006        YYK-309         3
    63437380        PJG-338         2
    87813843        MLE-193         4
    79140840        DFF-034         3
    73914283        OBI-353         1
    43053402        YOT-530         2
    52097922        ISU-815         5
    32565207        UXG-019         4
    37110873        YZD-580         5
    12663268        XSD-310         6
    11602775        YYK-309         3
    15561764        FYF-898         2
    60574154        III-576         6
    73185299        QUU-384         3
    43877279        SNY-500         4
    40112594        KSO-608         6
    41036366        AQS-362         2
    25171011        CIM-038         1
    96659352        KQA-580         6
    79140840        HLR-109         1
    90237332        OQI-373         1
    89863424        SSE-115         4
    86828079        YGV-332         1
    78757121        KJX-387         4
    78078115        XOA-735         2
    67418025        EVN-510         5
    95751208        BRD-969         4
    26976877        KQQ-136         3
    38913831        FLW-631         3
    57263719        OTH-462         2
    63437380        YEZ-591         5
    91897732        OXP-732         2
    26233063        JFC-432         4
    55552996        SSD-176         6
    22777006        XLF-273         2
    13245501        JCW-489         5
    26976877        YUQ-590         4
    38637282        OFS-384         1
    84165595        JFC-432         3
    45877001        GBJ-693         5
    66409237        CRU-009         4
    78922174        OQI-373         3
    54716824        CRU-009         6
    17913944        XLF-273         4
    57690875        XTE-383         6
============================================
                 28/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    42157219        OTS-581         5
    77484838        UWA-476         1
    79464412        CJE-310         5
    76388967        SJQ-827         5
    78922174        TKM-141         5
    94080926        NMV-644         5
    57263719        BWD-036         3
    17972674        ZWF-661         1
    89148118        XLF-273         5
    42928709        NSM-283         5
    57690875        CIM-038         3
    80048864        BCK-361         3
    59407188        BIT-434         6
    32565207        FVQ-662         5
    24995742        YMU-875         3
    89298238        QFP-254         2
    44679500        AWB-345         1
    35584593        AVM-258         4
    85871751        MYC-756         2
    43043986        QFP-254         5
    71463316        UWA-476         3
    71378466        ARS-231         6
    79475585        KQQ-136         6
    32904023        KJX-387         3
    42157219        KCO-488         2
    71463316        BCN-855         4
    66409237        UXG-019         4
    23928045        OXP-732         3
    26233063        KSO-608         3
    86241107        CIM-038         2
    35565959        DFJ-952         2
    73786035        DEN-125         4
    45828535        TZY-323         6
    26976877        SSE-115         4
    80048864        PPX-620         1
    60574154        KDA-627         5
    40112594        BCK-361         2
    79372768        QVJ-982         6
    43877279        QUU-384         5
    69975105        HFM-021         6
    43053402        FVQ-662         6
    89863424        OTH-462         6
    95161027        OQI-373         1
    62324793        OPJ-039         2
